  PID TTY          TIME CMD
 1168 ?        00:00:00 systemd
 1169 ?        00:00:00 (sd-pam)
 1174 ?        00:00:00 gnome-keyring-d
 1176 ?        00:00:01 upstart
 1210 ?        00:07:10 VBoxClient
 1321 ?        00:00:00 upstart-udev-br
 1333 ?        00:00:01 dbus-daemon
 1345 ?        00:00:00 window-stack-br
 1392 ?        00:00:01 bamfdaemon
 1395 ?        00:00:00 upstart-dbus-br
 1396 ?        00:00:00 upstart-dbus-br
 1398 ?        00:00:00 upstart-file-br
 1400 ?        00:00:01 ibus-daemon
 1407 ?        00:00:00 gvfsd
 1413 ?        00:00:00 at-spi-bus-laun
 1419 ?        00:00:00 gvfsd-fuse
 1421 ?        00:00:00 ibus-dconf
 1425 ?        00:00:00 ibus-ui-gtk3
 1429 ?        00:00:00 dbus-daemon
 1430 ?        00:00:00 ibus-x11
 1438 ?        00:00:00 at-spi2-registr
 1457 ?        00:00:00 ibus-engine-sim
 1469 ?        00:00:00 dconf-service
 1486 ?        00:00:00 hud-service
 1488 ?        00:00:01 unity-settings-
 1495 ?        00:00:00 gnome-session-b
 1512 ?        00:00:01 unity-panel-ser
 1548 ?        00:00:00 indicator-messa
 1549 ?        00:00:00 indicator-bluet
 1552 ?        00:00:00 indicator-power
 1559 ?        00:00:00 indicator-datet
 1563 ?        00:00:00 indicator-keybo
 1566 ?        00:00:00 indicator-sound
 1569 ?        00:00:00 indicator-print
 1573 ?        00:00:00 indicator-sessi
 1583 ?        00:00:00 evolution-sourc
 1588 ?        00:00:00 indicator-appli
 1611 ?        00:00:00 pulseaudio
 1655 ?        00:01:16 compiz
 1664 ?        00:00:01 evolution-calen
 1680 ?        00:00:02 gnome-software
 1682 ?        00:00:04 nautilus
 1684 ?        00:00:00 nm-applet
 1686 ?        00:00:00 polkit-gnome-au
 1700 ?        00:00:00 evolution-calen
 1706 ?        00:00:00 unity-fallback-
 1729 ?        00:00:00 gvfs-udisks2-vo
 1754 ?        00:00:00 evolution-addre
 1756 ?        00:00:00 evolution-calen
 1788 ?        00:00:00 gvfs-mtp-volume
 1805 ?        00:00:00 gvfs-goa-volume
 1819 ?        00:00:00 evolution-addre
 1828 ?        00:00:00 gvfs-afc-volume
 1847 ?        00:00:00 gvfs-gphoto2-vo
 1864 ?        00:00:00 zeitgeist-datah
 1880 ?        00:00:00 sh
 1884 ?        00:00:00 zeitgeist-daemo
 1906 ?        00:00:00 zeitgeist-fts
 1914 ?        00:00:00 gvfsd-trash
 1945 ?        00:00:00 update-notifier
 1957 ?        00:00:00 gpg-agent
 1974 ?        00:00:00 deja-dup-monito
 2228 ?        00:00:00 gvfsd-metadata
 2250 ?        00:00:00 gvfsd-network
 2274 ?        00:00:00 gvfsd-dnssd
 2301 ?        00:00:02 gnome-terminal-
 2347 ?        00:00:00 daemon
 2351 ?        00:00:00 ps
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         2  0.0  0.0      0     0 ?        S    23:15   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I    23:15   0:00   [kworker/0:0]
root         4  0.0  0.0      0     0 ?        I<   23:15   0:00   [kworker/0:0H]
root         5  0.0  0.0      0     0 ?        I    23:15   0:00   [kworker/u2:0]
root         6  0.0  0.0      0     0 ?        I<   23:15   0:00   [mm_percpu_wq]
root         7  0.1  0.0      0     0 ?        S    23:15   0:01   [ksoftirqd/0]
root         8  0.3  0.0      0     0 ?        I    23:15   0:02   [rcu_sched]
root         9  0.0  0.0      0     0 ?        I    23:15   0:00   [rcu_bh]
root        10  0.0  0.0      0     0 ?        S    23:15   0:00   [migration/0]
root        11  0.0  0.0      0     0 ?        S    23:15   0:00   [watchdog/0]
root        12  0.0  0.0      0     0 ?        S    23:15   0:00   [cpuhp/0]
root        13  0.0  0.0      0     0 ?        S    23:15   0:00   [kdevtmpfs]
root        14  0.0  0.0      0     0 ?        I<   23:15   0:00   [netns]
root        15  0.0  0.0      0     0 ?        S    23:15   0:00   [rcu_tasks_kthre]
root        16  0.0  0.0      0     0 ?        S    23:15   0:00   [kauditd]
root        17  0.0  0.0      0     0 ?        S    23:15   0:00   [khungtaskd]
root        18  0.0  0.0      0     0 ?        S    23:15   0:00   [oom_reaper]
root        19  0.0  0.0      0     0 ?        I<   23:15   0:00   [writeback]
root        20  0.0  0.0      0     0 ?        S    23:15   0:00   [kcompactd0]
root        21  0.0  0.0      0     0 ?        SN   23:15   0:00   [ksmd]
root        22  0.0  0.0      0     0 ?        SN   23:15   0:00   [khugepaged]
root        23  0.0  0.0      0     0 ?        I<   23:15   0:00   [crypto]
root        24  0.0  0.0      0     0 ?        I<   23:15   0:00   [kintegrityd]
root        25  0.0  0.0      0     0 ?        I<   23:15   0:00   [kblockd]
root        26  0.0  0.0      0     0 ?        I<   23:15   0:00   [ata_sff]
root        27  0.0  0.0      0     0 ?        I<   23:15   0:00   [md]
root        28  0.0  0.0      0     0 ?        I<   23:15   0:00   [edac-poller]
root        29  0.0  0.0      0     0 ?        I<   23:15   0:00   [devfreq_wq]
root        30  0.0  0.0      0     0 ?        I<   23:15   0:00   [watchdogd]
root        31  0.0  0.0      0     0 ?        I    23:15   0:00   [kworker/u2:1]
root        33  0.0  0.0      0     0 ?        S    23:15   0:00   [kswapd0]
root        34  0.0  0.0      0     0 ?        I<   23:15   0:00   [kworker/u3:0]
root        35  0.0  0.0      0     0 ?        S    23:15   0:00   [ecryptfs-kthrea]
root        77  0.0  0.0      0     0 ?        I<   23:15   0:00   [kthrotld]
root        78  0.0  0.0      0     0 ?        I<   23:15   0:00   [acpi_thermal_pm]
root        80  0.0  0.0      0     0 ?        S    23:15   0:00   [scsi_eh_0]
root        81  0.0  0.0      0     0 ?        I<   23:15   0:00   [scsi_tmf_0]
root        82  0.0  0.0      0     0 ?        S    23:15   0:00   [scsi_eh_1]
root        83  0.0  0.0      0     0 ?        I<   23:15   0:00   [scsi_tmf_1]
root        85  0.0  0.0      0     0 ?        I<   23:15   0:00   [ipv6_addrconf]
root        95  0.0  0.0      0     0 ?        I<   23:15   0:00   [kstrp]
root        97  0.0  0.0      0     0 ?        I    23:15   0:00   [kworker/0:2]
root       113  0.0  0.0      0     0 ?        I<   23:15   0:00   [charger_manager]
root       159  0.0  0.0      0     0 ?        I<   23:15   0:00   [kworker/0:1H]
root       160  0.0  0.0      0     0 ?        S    23:15   0:00   [scsi_eh_2]
root       161  0.0  0.0      0     0 ?        I<   23:15   0:00   [scsi_tmf_2]
root       185  0.0  0.0      0     0 ?        S    23:15   0:00   [jbd2/sda1-8]
root       186  0.0  0.0      0     0 ?        I<   23:15   0:00   [ext4-rsv-conver]
root       410  0.0  0.0      0     0 ?        I<   23:15   0:00   [iprt-VBoxWQueue]
root      2237  0.0  0.0      0     0 ?        I    23:26   0:00   [kworker/u2:2]
root      2238  0.0  0.0      0     0 ?        I    23:26   0:00   [kworker/u2:3]
root      2284  0.0  0.0      0     0 ?        I    23:27   0:00   [kworker/0:1]
root         1  0.5  0.2  24940  4916 ?        Ss   23:15   0:04 /sbin/init splash
root       220  0.0  0.1   7064  3344 ?        Ss   23:15   0:00   /lib/systemd/systemd-journald
root       255  0.0  0.2  15016  4232 ?        Ss   23:15   0:00   /lib/systemd/systemd-udevd
root       601  0.0  0.1   4140  2996 ?        Ss   23:15   0:00   /lib/systemd/systemd-logind
root       618  0.0  0.0   2248  1260 ?        Ss   23:15   0:00   /usr/sbin/acpid
syslog     622  0.0  0.1  30764  3176 ?        Ssl  23:15   0:00   /usr/sbin/rsyslogd -n
root       635  0.0  0.1   6808  2896 ?        Ss   23:15   0:00   /usr/sbin/cron -f
message+   640  0.1  0.2   6884  4548 ?        Ss   23:15   0:00   /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       649  0.0  0.6  83352 13892 ?        Ssl  23:15   0:00   /usr/sbin/NetworkManager --no-daemon
root       786  0.0  0.1   6016  3228 ?        S    23:16   0:00     /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp0s3.pid -lf /var/lib/NetworkManager/dhclient-edf1c419-8ac5-357e-8a5c-d686858502d4-enp0s3.lease -cf /var/lib/NetworkManager/dhclient-enp0s3.conf enp0s3
nobody     810  0.0  0.2  10348  4204 ?        S    23:16   0:00     /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       653  0.0  0.3  38904  6128 ?        Ssl  23:15   0:00   /usr/lib/accountsservice/accounts-daemon
avahi      660  0.0  0.1   5924  3116 ?        Ss   23:15   0:00   avahi-daemon: running [andrey-VirtualBox.local]
avahi      671  0.0  0.0   5924   276 ?        S    23:15   0:00     avahi-daemon: chroot helper
root       665  0.0  0.3  15420  6868 ?        Ss   23:15   0:00   /usr/sbin/cupsd -l
lp         732  0.0  0.2  11236  5008 ?        S    23:15   0:00     /usr/lib/cups/notifier/dbus dbus://
lp         733  0.0  0.2  11236  5176 ?        S    23:15   0:00     /usr/lib/cups/notifier/dbus dbus://
lp         734  0.0  0.2  11236  5256 ?        S    23:15   0:00     /usr/lib/cups/notifier/dbus dbus://
lp         735  0.0  0.2  11236  5216 ?        S    23:16   0:00     /usr/lib/cups/notifier/dbus dbus://
lp         739  0.0  0.2  11236  4972 ?        S    23:16   0:00     /usr/lib/cups/notifier/dbus dbus://
lp         746  0.0  0.2  11236  5176 ?        S    23:16   0:00     /usr/lib/cups/notifier/dbus dbus://
